wavelength_angstrom,opacity_cm_minus_1
5037.7,1.2118131266626517e-15
5037.8,1.2124241505522874e-15
5037.9,1.213035636696794e-15
5038.0,1.2136475855625623e-15
5038.1,1.2142599976165735e-15
5038.2,1.2148728733263945e-15
5038.3,1.215486213160198e-15
5038.4,1.2161000175867305e-15
5038.5,1.2167142870753333e-15
5038.6,1.2173290220959535e-15
5038.7,1.2179442231191166e-15
5038.8,1.2185598906159456e-15
5038.9,1.2191760250581704e-15
5039.0,1.219792626918104e-15
5039.1,1.2204096966686584e-15
5039.2,1.2210272347833559e-15
5039.3,1.2216452417363039e-15
5039.4,1.222263718002212e-15
5039.5,1.2228826640564012e-15
5039.6,1.2235020803747843e-15
5039.7,1.2241219674338754e-15
5039.8,1.2247423257108045e-15
5039.9,1.2253631556832944e-15
5040.0,1.2259844578296739e-15
5040.1,1.2266062326288895e-15
5040.2,1.227228480560484e-15
5040.3,1.227851202104608e-15
5040.4,1.2284743977420326e-15
5040.5,1.2290980679541288e-15
5040.6,1.2297222132228772e-15
5040.7,1.2303468340308833e-15
5040.8,1.2309719308613535e-15
5040.9,1.231597504198108e-15
5041.0,1.2322235545255931e-15
5041.1,1.23285008232886e-15
5041.2,1.2334770880935762e-15
5041.3,1.234104572306039e-15
5041.4,1.2347325354531517e-15
5041.5,1.2353609780224427e-15
5041.6,1.2359899005020542e-15
5041.7,1.2366193033807645e-15
5041.8,1.2372491871479612e-15
5041.9,1.237879552293655e-15
5042.0,1.2385103993084934e-15
5042.1,1.2391417286837372e-15
5042.2,1.239773540911273e-15
5042.3,1.2404058364836264e-15
5042.4,1.2410386158939401e-15
5042.5,1.2416718796359846e-15
5042.6,1.242305628204174e-15
5042.7,1.2429398620935403e-15
5042.8,1.2435745817997475e-15
5042.9,1.2442097878191045e-15
5043.0,1.2448454806485434e-15
5043.1,1.245481660785629e-15
5043.2,1.246118328728576e-15
5043.3,1.2467554849762237e-15
5043.4,1.2473931300280475e-15
5043.5,1.2480312643841754e-15
5043.6,1.2486698885453628e-15
5043.7,1.2493090030130043e-15
5043.8,1.249948608289151e-15
5043.9,1.250588704876484e-15
5044.0,1.2512292932783246e-15
5044.1,1.2518703739986562e-15
5044.2,1.2525119475420932e-15
5044.3,1.2531540144138952e-15
5044.4,1.2537965751199846e-15
5044.5,1.2544396301669192e-15
5044.6,1.2550831800619046e-15
5044.7,1.2557272253128128e-15
5044.8,1.2563717664281532e-15
5044.9,1.2570168039170912e-15
5045.0,1.257662338289442e-15
5045.1,1.258308370055692e-15
5045.2,1.2589548997269648e-15
5045.3,1.2596019278150435e-15
5045.4,1.2602494548323832e-15
5045.5,1.2608974812920823e-15
5045.6,1.2615460077079004e-15
5045.7,1.2621950345942693e-15
5045.8,1.2628445624662724e-15
5045.9,1.2634945918396535e-15
5046.0,1.2641451232308338e-15
5046.1,1.2647961571568876e-15
5046.2,1.2654476941355533e-15
5046.3,1.2660997346852503e-15
5046.4,1.266752279325053e-15
5046.5,1.2674053285747045e-15
5046.6,1.268058882954631e-15
5046.7,1.2687129429859164e-15
5046.8,1.2693675091903177e-15
5046.9,1.270022582090277e-15
5047.0,1.2706781622088982e-15
5047.1,1.2713342500699602e-15
5047.2,1.2719908461979313e-15
5047.3,1.2726479511179441e-15
5047.4,1.2733055653558102e-15
5047.5,1.2739636894380313e-15
5047.6,1.27462232389178e-15
5047.7,1.2752814692449085e-15
5047.8,1.275941126025964e-15
5047.9,1.2766012947641661e-15
5048.0,1.2772619759894178e-15
5048.1,1.2779231702323212e-15
5048.2,1.2785848780241526e-15
5048.3,1.2792470998968805e-15
5048.4,1.2799098363831581e-15
5048.5,1.2805730880163403e-15
5048.6,1.2812368553304626e-15
5048.7,1.2819011388602508e-15
5048.8,1.2825659391411373e-15
5048.9,1.2832312567092365e-15
5049.0,1.283897092101358e-15
5049.1,1.2845634458550206e-15
