# Korg.jl Reference Spectrum - Arcturus-like (Cool Giant) (With Lines)
# Generated: 2025-10-05 14:04:46
# Parameters: Teff=4250.0K, logg=1.4, [M/H]=-0.5
# Synthesis time: 0.28 seconds
# Wavelength range: 5000.0-5020.0 Å (2001 points)
# Line list: 41821 lines
#
# Wavelength(Å)    Flux              Continuum         NormalizedFlux
     5002.4600      1.136427e+14      1.633949e+14      0.695510
     5002.4700      1.192255e+14      1.633950e+14      0.729676
     5002.4800      1.289673e+14      1.633951e+14      0.789297
     5002.4900      1.406516e+14      1.633952e+14      0.860806
     5002.5000      1.508353e+14      1.633953e+14      0.923132
     5002.5100      1.573937e+14      1.633953e+14      0.963269
     5002.5200      1.606036e+14      1.633954e+14      0.982914
     5002.5300      1.618512e+14      1.633955e+14      0.990548
     5002.5400      1.622595e+14      1.633956e+14      0.993047
     5002.5500      1.623608e+14      1.633957e+14      0.993666
     5002.5600      1.623719e+14      1.633958e+14      0.993734
     5002.5700      1.621876e+14      1.633959e+14      0.992605
     5002.5800      1.613094e+14      1.633960e+14      0.987230
     5002.5900      1.584920e+14      1.633961e+14      0.969987
     5002.6000      1.524468e+14      1.633962e+14      0.932989
     5002.6100      1.442682e+14      1.633962e+14      0.882934
     5002.6200      1.382097e+14      1.633963e+14      0.845855
     5002.6300      1.381402e+14      1.633964e+14      0.845430
     5002.6400      1.441033e+14      1.633965e+14      0.881924
     5002.6500      1.522824e+14      1.633966e+14      0.931980
     5002.6600      1.583877e+14      1.633967e+14      0.969345
     5002.6700      1.612568e+14      1.633968e+14      0.986903
     5002.6800      1.621586e+14      1.633969e+14      0.992421
     5002.6900      1.623530e+14      1.633970e+14      0.993611
     5002.7000      1.623750e+14      1.633971e+14      0.993745
     5002.7100      1.623799e+14      1.633971e+14      0.993774
     5002.7200      1.623582e+14      1.633972e+14      0.993641
     5002.7300      1.623344e+14      1.633973e+14      0.993495
     5002.7400      1.623084e+14      1.633974e+14      0.993335
     5002.7500      1.622800e+14      1.633975e+14      0.993161
     5002.7600      1.622489e+14      1.633976e+14      0.992970
     5002.7700      1.622149e+14      1.633977e+14      0.992761
     5002.7800      1.621768e+14      1.633978e+14      0.992527
     5002.7900      1.621303e+14      1.633979e+14      0.992243
     5002.8000      1.620559e+14      1.633980e+14      0.991787
     5002.8100      1.618804e+14      1.633980e+14      0.990712
     5002.8200      1.613975e+14      1.633981e+14      0.987756
     5002.8300      1.602226e+14      1.633982e+14      0.980565
     5002.8400      1.580189e+14      1.633983e+14      0.967078
     5002.8500      1.550132e+14      1.633984e+14      0.948683
     5002.8600      1.521238e+14      1.633985e+14      0.930999
     5002.8700      1.504162e+14      1.633986e+14      0.920548
     5002.8800      1.505049e+14      1.633987e+14      0.921090
     5002.8900      1.523279e+14      1.633988e+14      0.932246
     5002.9000      1.551650e+14      1.633989e+14      0.949609
     5002.9100      1.579263e+14      1.633989e+14      0.966508
     5002.9200      1.597872e+14      1.633990e+14      0.977895
     5002.9300      1.606461e+14      1.633991e+14      0.983151
     5002.9400      1.608794e+14      1.633992e+14      0.984579
     5002.9500      1.608446e+14      1.633993e+14      0.984365
     5002.9600      1.607166e+14      1.633994e+14      0.983582
     5002.9700      1.605527e+14      1.633995e+14      0.982578
     5002.9800      1.603655e+14      1.633996e+14      0.981432
     5002.9900      1.601553e+14      1.633997e+14      0.980144
     5003.0000      1.599193e+14      1.633998e+14      0.978700
     5003.0100      1.596533e+14      1.633994e+14      0.977074
     5003.0200      1.593224e+14      1.633990e+14      0.975052
     5003.0300      1.589789e+14      1.633985e+14      0.972952
     5003.0400      1.585872e+14      1.633981e+14      0.970557
     5003.0500      1.581379e+14      1.633977e+14      0.967810
     5003.0600      1.576194e+14      1.633973e+14      0.964639
     5003.0700      1.570169e+14      1.633969e+14      0.960954
     5003.0800      1.563112e+14      1.633965e+14      0.956637
     5003.0900      1.554777e+14      1.633961e+14      0.951538
     5003.1000      1.544837e+14      1.633957e+14      0.945457
     5003.1100      1.532855e+14      1.633953e+14      0.938126
     5003.1200      1.518235e+14      1.633949e+14      0.929181
     5003.1300      1.500134e+14      1.633945e+14      0.918105
     5003.1400      1.477047e+14      1.633941e+14      0.903978
     5003.1500      1.447807e+14      1.633937e+14      0.886085
     5003.1600      1.409755e+14      1.633933e+14      0.862798
     5003.1700      1.355925e+14      1.633929e+14      0.829856
     5003.1800      1.262593e+14      1.633925e+14      0.772736
     5003.1900      1.020949e+14      1.633921e+14      0.624846
     5003.2000      5.708378e+13      1.633917e+14      0.349368
     5003.2100      3.150213e+13      1.633913e+14      0.192802
     5003.2200      2.065910e+13      1.633909e+14      0.126440
     5003.2300      1.453511e+13      1.633905e+14      0.088959
     5003.2400      1.110988e+13      1.633901e+14      0.067996
     5003.2500      9.475748e+12      1.633897e+14      0.057995
     5003.2600      9.098802e+12      1.633893e+14      0.055688
     5003.2700      9.842742e+12      1.633889e+14      0.060241
     5003.2800      1.197117e+13      1.633885e+14      0.073268
     5003.2900      1.614056e+13      1.633881e+14      0.098787
     5003.3000      2.340428e+13      1.633877e+14      0.143244
     5003.3100      3.711952e+13      1.633873e+14      0.227187
     5003.3200      7.105181e+13      1.633869e+14      0.434868
     5003.3300      1.124987e+14      1.633865e+14      0.688543
     5003.3400      1.296727e+14      1.633861e+14      0.793658
     5003.3500      1.370998e+14      1.633857e+14      0.839118
     5003.3600      1.418949e+14      1.633853e+14      0.868468
     5003.3700      1.454943e+14      1.633849e+14      0.890500
     5003.3800      1.483309e+14      1.633845e+14      0.907864
     5003.3900      1.505503e+14      1.633841e+14      0.921451
     5003.4000      1.522881e+14      1.633837e+14      0.932089
     5003.4100      1.536731e+14      1.633833e+14      0.940568
     5003.4200      1.548046e+14      1.633829e+14      0.947496
     5003.4300      1.557443e+14      1.633825e+14      0.953250
     5003.4400      1.565342e+14      1.633821e+14      0.958087
     5003.4500      1.572047e+14      1.633817e+14      0.962193
     5003.4600      1.577786e+14      1.633813e+14      0.965708
     5003.4700      1.582735e+14      1.633809e+14      0.968740
     5003.4800      1.587033e+14      1.633805e+14      0.971373
     5003.4900      1.590789e+14      1.633800e+14      0.973674
     5003.5000      1.594088e+14      1.633796e+14      0.975696
     5003.5100      1.597283e+14      1.633792e+14      0.977654
     5003.5200      1.599849e+14      1.633788e+14      0.979226
     5003.5300      1.602135e+14      1.633784e+14      0.980628
     5003.5400      1.604181e+14      1.633780e+14      0.981883
     5003.5500      1.606019e+14      1.633776e+14      0.983010
     5003.5600      1.607675e+14      1.633772e+14      0.984026
     5003.5700      1.609172e+14      1.633768e+14      0.984945
     5003.5800      1.610532e+14      1.633764e+14      0.985780
     5003.5900      1.611766e+14      1.633760e+14      0.986538
     5003.6000      1.612891e+14      1.633756e+14      0.987229
     5003.6100      1.613919e+14      1.633752e+14      0.987860
     5003.6200      1.614778e+14      1.633748e+14      0.988389
     5003.6300      1.615613e+14      1.633744e+14      0.988902
     5003.6400      1.616308e+14      1.633740e+14      0.989330
     5003.6500      1.616080e+14      1.633736e+14      0.989193
     5003.6600      1.612511e+14      1.633732e+14      0.987011
     5003.6700      1.592270e+14      1.633728e+14      0.974623
     5003.6800      1.521079e+14      1.633724e+14      0.931050
     5003.6900      1.361444e+14      1.633720e+14      0.833340
     5003.7000      1.145995e+14      1.633716e+14      0.701465
     5003.7100      9.813647e+13      1.633712e+14      0.600696
     5003.7200      9.420909e+13      1.633708e+14      0.576658
     5003.7300      1.041504e+14      1.633704e+14      0.637511
     5003.7400      1.242414e+14      1.633700e+14      0.760491
     5003.7500      1.445008e+14      1.633696e+14      0.884503
     5003.7600      1.564633e+14      1.633692e+14      0.957728
     5003.7700      1.608635e+14      1.633688e+14      0.984665
     5003.7800      1.619166e+14      1.633684e+14      0.991113
     5003.7900      1.617470e+14      1.633680e+14      0.990078
     5003.8000      1.595806e+14      1.633676e+14      0.976819
     5003.8100      1.521454e+14      1.633672e+14      0.931310
     5003.8200      1.391064e+14      1.633668e+14      0.851497
     5003.8300      1.292105e+14      1.633664e+14      0.790924
     5003.8400      1.311640e+14      1.633660e+14      0.802884
     5003.8500      1.432044e+14      1.633656e+14      0.876588
     5003.8600      1.550593e+14      1.633652e+14      0.949158
     5003.8700      1.605175e+14      1.633648e+14      0.982571
     5003.8800      1.618110e+14      1.633644e+14      0.990491
     5003.8900      1.618939e+14      1.633640e+14      0.991001
     5003.9000      1.616361e+14      1.633636e+14      0.989425
     5003.9100      1.603557e+14      1.633632e+14      0.981590
     5003.9200      1.530792e+14      1.633628e+14      0.937051
     5003.9300      1.244369e+14      1.633624e+14      0.761723
     5003.9400      7.501685e+13      1.633620e+14      0.459206
     5003.9500      4.486669e+13      1.633616e+14      0.274647
     5003.9600      3.344574e+13      1.633612e+14      0.204735
     5003.9700      2.890311e+13      1.633608e+14      0.176928
     5003.9800      2.789568e+13      1.633604e+14      0.170762
     5003.9900      2.990465e+13      1.633600e+14      0.183060
     5004.0000      3.604750e+13      1.633596e+14      0.220664
     5004.0100      5.165159e+13      1.633588e+14      0.316185
     5004.0200      9.060421e+13      1.633580e+14      0.554636
     5004.0300      1.369833e+14      1.633573e+14      0.838551
     5004.0400      1.564171e+14      1.633565e+14      0.957520
     5004.0500      1.604130e+14      1.633557e+14      0.981986
     5004.0600      1.609427e+14      1.633550e+14      0.985233
     5004.0700      1.608946e+14      1.633542e+14      0.984943
     5004.0800      1.606812e+14      1.633534e+14      0.983641
     5004.0900      1.603187e+14      1.633527e+14      0.981427
     5004.1000      1.597095e+14      1.633519e+14      0.977702
     5004.1100      1.583692e+14      1.633511e+14      0.969502
     5004.1200      1.530540e+14      1.633504e+14      0.936967
     5004.1300      1.279051e+14      1.633496e+14      0.783014
     5004.1400      7.063016e+13      1.633488e+14      0.432388
     5004.1500      3.625547e+13      1.633481e+14      0.221952
     5004.1600      2.474627e+13      1.633473e+14      0.151495
     5004.1700      1.931393e+13      1.633465e+14      0.118239
     5004.1800      1.676280e+13      1.633458e+14      0.102622
     5004.1900      1.631280e+13      1.633450e+14      0.099867
     5004.2000      1.783158e+13      1.633443e+14      0.109166
     5004.2100      2.172369e+13      1.633435e+14      0.132994
     5004.2200      2.946422e+13      1.633427e+14      0.180383
     5004.2300      4.887885e+13      1.633420e+14      0.299242
     5004.2400      1.013265e+14      1.633412e+14      0.620337
     5004.2500      1.449998e+14      1.633404e+14      0.887715
     5004.2600      1.569416e+14      1.633397e+14      0.960829
     5004.2700      1.594580e+14      1.633389e+14      0.976240
     5004.2800      1.603630e+14      1.633381e+14      0.981785
     5004.2900      1.608977e+14      1.633374e+14      0.985064
     5004.3000      1.612717e+14      1.633366e+14      0.987358
     5004.3100      1.615567e+14      1.633358e+14      0.989107
     5004.3200      1.618023e+14      1.633351e+14      0.990615
     5004.3300      1.619704e+14      1.633343e+14      0.991649
     5004.3400      1.621051e+14      1.633336e+14      0.992479
     5004.3500      1.622150e+14      1.633328e+14      0.993156
     5004.3600      1.623058e+14      1.633320e+14      0.993717
     5004.3700      1.623818e+14      1.633313e+14      0.994187
     5004.3800      1.624461e+14      1.633305e+14      0.994585
     5004.3900      1.625010e+14      1.633297e+14      0.994926
     5004.4000      1.625484e+14      1.633290e+14      0.995221
     5004.4100      1.625894e+14      1.633282e+14      0.995477
     5004.4200      1.626254e+14      1.633274e+14      0.995701
     5004.4300      1.626569e+14      1.633267e+14      0.995899
     5004.4400      1.626848e+14      1.633259e+14      0.996075
     5004.4500      1.627097e+14      1.633251e+14      0.996232
     5004.4600      1.627318e+14      1.633244e+14      0.996372
     5004.4700      1.627517e+14      1.633236e+14      0.996498
     5004.4800      1.627696e+14      1.633229e+14      0.996612
     5004.4900      1.627857e+14      1.633221e+14      0.996716
     5004.5000      1.628003e+14      1.633213e+14      0.996810
     5004.5100      1.628136e+14      1.633206e+14      0.996896
     5004.5200      1.628258e+14      1.633198e+14      0.996975
     5004.5300      1.628368e+14      1.633190e+14      0.997047
     5004.5400      1.628470e+14      1.633183e+14      0.997114
     5004.5500      1.628563e+14      1.633175e+14      0.997176
     5004.5600      1.628648e+14      1.633167e+14      0.997233
     5004.5700      1.628617e+14      1.633160e+14      0.997219
     5004.5800      1.628690e+14      1.633152e+14      0.997268
     5004.5900      1.628756e+14      1.633144e+14      0.997313
     5004.6000      1.628691e+14      1.633137e+14      0.997278
     5004.6100      1.628743e+14      1.633129e+14      0.997314
     5004.6200      1.628791e+14      1.633122e+14      0.997348
     5004.6300      1.628834e+14      1.633114e+14      0.997379
     5004.6400      1.628874e+14      1.633106e+14      0.997408
     5004.6500      1.628909e+14      1.633099e+14      0.997435
     5004.6600      1.628941e+14      1.633091e+14      0.997459
     5004.6700      1.628970e+14      1.633083e+14      0.997481
     5004.6800      1.628996e+14      1.633076e+14      0.997502
     5004.6900      1.629019e+14      1.633068e+14      0.997521
     5004.7000      1.628735e+14      1.633060e+14      0.997351
     5004.7100      1.628750e+14      1.633053e+14      0.997365
     5004.7200      1.628762e+14      1.633045e+14      0.997377
     5004.7300      1.628771e+14      1.633038e+14      0.997387
