# wavelength(A) flux continuum rectified_flux
6562.790000 3.477317718064e+14 3.877104291146e+14 8.968852671837e-01
6562.800000 3.475378918736e+14 3.877098518874e+14 8.963865379786e-01
6562.810000 3.473422921841e+14 3.877092746590e+14 8.958833716052e-01
6562.820000 3.471449709301e+14 3.877086974294e+14 8.953757633803e-01
6562.830000 3.469691861465e+14 3.877081201986e+14 8.949237018013e-01
6562.840000 3.467682343810e+14 3.877075429665e+14 8.944067265953e-01
6562.850000 3.465656272987e+14 3.877069657334e+14 8.938854803476e-01
6562.860000 3.463612637015e+14 3.877063884990e+14 8.933597020219e-01
6562.870000 3.461551314144e+14 3.877058112635e+14 8.928293601952e-01
6562.880000 3.459472169099e+14 3.877052340268e+14 8.922944199562e-01
6562.890000 3.457375054299e+14 3.877046567889e+14 8.917548432187e-01
6562.900000 3.455259810980e+14 3.877040795498e+14 8.912105890122e-01
6562.910000 3.453126270322e+14 3.877035023095e+14 8.906616137724e-01
6562.920000 3.450974254593e+14 3.877029250680e+14 8.901078716358e-01
6562.930000 3.448750537210e+14 3.877023478255e+14 8.895356338576e-01
6562.940000 3.446558511320e+14 3.877017705816e+14 8.889715685720e-01
6562.950000 3.444347225588e+14 3.877011933366e+14 8.884025339064e-01
6562.960000 3.442116449867e+14 3.877006160904e+14 8.878284704776e-01
6562.970000 3.439865928722e+14 3.877000388430e+14 8.872493123776e-01
6562.980000 3.437595392193e+14 3.876994615943e+14 8.866649899530e-01
6562.990000 3.435304500514e+14 3.876988843446e+14 8.860754155434e-01
6563.000000 3.432993068527e+14 3.876983070936e+14 8.854805413678e-01
6563.010000 3.430660811436e+14 3.876977303568e+14 8.848802927680e-01
6563.020000 3.428307427349e+14 3.876971536187e+14 8.842745930295e-01
6563.030000 3.425929772560e+14 3.876965768796e+14 8.836626312603e-01
6563.040000 3.423529752602e+14 3.876960001391e+14 8.830448989344e-01
6563.050000 3.421107594869e+14 3.876954233976e+14 8.824214546790e-01
6563.060000 3.418654537365e+14 3.876948466548e+14 8.817900384444e-01
6563.070000 3.416184893601e+14 3.876942699108e+14 8.811543421538e-01
6563.080000 3.413691658945e+14 3.876936931657e+14 8.805125590439e-01
6563.090000 3.411168372775e+14 3.876931164193e+14 8.798630226609e-01
6563.100000 3.408619714876e+14 3.876925396717e+14 8.792069400567e-01
6563.110000 3.406045716827e+14 3.876919629230e+14 8.785443193475e-01
6563.120000 3.403445624437e+14 3.876913861732e+14 8.778749659702e-01
6563.130000 3.400818741250e+14 3.876908094220e+14 8.771987002530e-01
6563.140000 3.398164225292e+14 3.876902326697e+14 8.765153049877e-01
6563.150000 3.395481067175e+14 3.876896559162e+14 8.758245197827e-01
6563.160000 3.392768058448e+14 3.876890791615e+14 8.751260328987e-01
6563.170000 3.390023677368e+14 3.876885024056e+14 8.744194517848e-01
6563.180000 3.387245469511e+14 3.876879256486e+14 8.737041433118e-01
6563.190000 3.384431554888e+14 3.876873488904e+14 8.729796225166e-01
