# Korg.jl Solar Spectrum - Complete Data
# Generated on: 2025-07-31T21:55:00.448
# Parameters: Teff=5780 K, logg=4.44, [M/H]=0.0, vmic=1.0 km/s
# Wavelength range: (5000, 5200) Å
# Synthesis time: 56.38 seconds
# Total wavelength points: 20001
# Strong absorption lines (>10% depth): 6154
# Deepest line: 5185.05 Å, 89.2% depth
#
# Column 1: Wavelength (Å)
# Column 2: Absolute Flux (erg/s/cm²/Å)
# Column 3: Continuum Flux (erg/s/cm²/Å)
# Column 4: Normalized Flux (dimensionless)
#
# Wavelength    AbsoluteFlux      ContinuumFlux     NormalizedFlux
 5001.9000     1.037681e+15     1.048442e+15      0.989736
 5001.9100     1.038506e+15     1.048437e+15      0.990528
 5001.9200     1.039212e+15     1.048431e+15      0.991207
 5001.9300     1.039773e+15     1.048426e+15      0.991746
 5001.9400     1.040243e+15     1.048421e+15      0.992199
 5001.9500     1.040766e+15     1.048416e+15      0.992703
 5001.9600     1.041087e+15     1.048411e+15      0.993015
 5001.9700     1.041356e+15     1.048405e+15      0.993276
 5001.9800     1.041579e+15     1.048400e+15      0.993494
 5001.9900     1.041761e+15     1.048395e+15      0.993672
 5002.0000     1.041904e+15     1.048390e+15      0.993813
 5002.0100     1.042010e+15     1.048385e+15      0.993919
 5002.0200     1.042075e+15     1.048379e+15      0.993987
 5002.0300     1.042089e+15     1.048374e+15      0.994005
 5002.0400     1.042022e+15     1.048369e+15      0.993946
 5002.0500     1.041739e+15     1.048364e+15      0.993681
 5002.0600     1.040623e+15     1.048358e+15      0.992621
 5002.0700     1.036411e+15     1.048353e+15      0.988608
 5002.0800     1.023057e+15     1.048348e+15      0.975875
 5002.0900     9.909187e+14     1.048343e+15      0.945224
 5002.1000     9.361966e+14     1.048337e+15      0.893030
 5002.1100     8.740559e+14     1.048332e+15      0.833759
 5002.1200     8.323883e+14     1.048327e+15      0.794016
 5002.1300     8.306265e+14     1.048322e+15      0.792339
 5002.1400     8.695328e+14     1.048316e+15      0.829456
 5002.1500     9.310170e+14     1.048311e+15      0.888111
 5002.1600     9.870702e+14     1.048306e+15      0.941586
 5002.1700     1.020977e+15     1.048301e+15      0.973936
 5002.1800     1.035300e+15     1.048295e+15      0.987603
 5002.1900     1.039769e+15     1.048290e+15      0.991871
 5002.2000     1.040782e+15     1.048285e+15      0.992842
 5002.2100     1.040458e+15     1.048280e+15      0.992539
 5002.2200     1.038131e+15     1.048275e+15      0.990324
 5002.2300     1.030326e+15     1.048269e+15      0.982883
 5002.2400     1.012170e+15     1.048264e+15      0.965568
 5002.2500     9.848203e+14     1.048259e+15      0.939482
 5002.2600     9.606597e+14     1.048254e+15      0.916438
 5002.2700     9.518077e+14     1.048248e+15      0.907998
 5002.2800     9.538856e+14     1.048243e+15      0.909985
 5002.2900     9.490859e+14     1.048238e+15      0.905411
 5002.3000     9.263628e+14     1.048233e+15      0.883738
 5002.3100     8.903038e+14     1.048227e+15      0.849342
 5002.3200     8.505869e+14     1.048222e+15      0.811457
 5002.3300     8.079180e+14     1.048217e+15      0.770755
 5002.3400     7.489647e+14     1.048212e+15      0.714517
 5002.3500     6.592572e+14     1.048206e+15      0.628938
 5002.3600     5.542763e+14     1.048201e+15      0.528788
 5002.3700     4.721838e+14     1.048196e+15      0.450473
 5002.3800     4.340425e+14     1.048191e+15      0.414087
