# Korg.jl Solar Spectrum - Simple Format
# Teff=5780 K, logg=4.44, [M/H]=0.0
# Wavelength(Å)  NormalizedFlux  Continuum(erg/s/cm²/Å)
 5004.4500      0.992263     1.046874e+15
 5004.4600      0.992581     1.046868e+15
 5004.4700      0.992866     1.046861e+15
 5004.4800      0.993124     1.046854e+15
 5004.4900      0.993359     1.046847e+15
 5004.5000      0.993574     1.046840e+15
 5004.5100      0.993771     1.046833e+15
 5004.5200      0.993951     1.046826e+15
 5004.5300      0.994117     1.046819e+15
 5004.5400      0.994270     1.046813e+15
 5004.5500      0.994412     1.046806e+15
 5004.5600      0.994543     1.046799e+15
 5004.5700      0.994665     1.046792e+15
 5004.5800      0.994779     1.046785e+15
 5004.5900      0.994884     1.046778e+15
 5004.6000      0.994983     1.046771e+15
 5004.6100      0.995075     1.046764e+15
 5004.6200      0.995161     1.046758e+15
 5004.6300      0.995214     1.046751e+15
 5004.6400      0.995288     1.046744e+15
 5004.6500      0.995358     1.046737e+15
 5004.6600      0.995422     1.046730e+15
 5004.6700      0.995537     1.046723e+15
 5004.6800      0.995532     1.046716e+15
 5004.6900      0.995716     1.046709e+15
 5004.7000      0.995753     1.046703e+15
 5004.7100      0.995786     1.046696e+15
 5004.7200      0.995814     1.046689e+15
 5004.7300      0.995838     1.046682e+15
 5004.7400      0.995856     1.046675e+15
 5004.7500      0.995868     1.046668e+15
 5004.7600      0.995874     1.046661e+15
 5004.7700      0.995870     1.046654e+15
 5004.7800      0.995855     1.046648e+15
 5004.7900      0.995825     1.046641e+15
 5004.8000      0.995772     1.046634e+15
 5004.8100      0.995624     1.046627e+15
 5004.8200      0.995395     1.046620e+15
 5004.8300      0.994750     1.046613e+15
 5004.8400      0.992630     1.046606e+15
 5004.8500      0.986941     1.046599e+15
 5004.8600      0.976667     1.046593e+15
 5004.8700      0.965548     1.046586e+15
 5004.8800      0.959592     1.046579e+15
 5004.8900      0.960944     1.046572e+15
 5004.9000      0.967120     1.046565e+15
 5004.9100      0.975451     1.046558e+15
 5004.9200      0.983550     1.046551e+15
 5004.9300      0.989495     1.046544e+15
 5004.9400      0.992872     1.046538e+15
 5004.9500      0.994447     1.046531e+15
 5004.9600      0.995078     1.046524e+15
 5004.9700      0.995329     1.046517e+15
 5004.9800      0.995430     1.046510e+15
 5004.9900      0.995426     1.046503e+15
 5005.0000      0.995394     1.046496e+15
 5005.0100      0.995318     1.046494e+15
 5005.0200      0.995198     1.046493e+15
 5005.0300      0.995006     1.046491e+15
 5005.0400      0.994717     1.046489e+15
 5005.0500      0.994241     1.046487e+15
 5005.0600      0.993106     1.046485e+15
 5005.0700      0.989261     1.046484e+15
 5005.0800      0.975194     1.046482e+15
 5005.0900      0.931584     1.046480e+15
 5005.1000      0.832429     1.046478e+15
 5005.1100      0.684315     1.046476e+15
 5005.1200      0.546403     1.046474e+15
 5005.1300      0.466460     1.046473e+15
 5005.1400      0.449894     1.046471e+15
 5005.1500      0.495100     1.046469e+15
 5005.1600      0.607080     1.046467e+15
 5005.1700      0.762779     1.046465e+15
 5005.1800      0.894300     1.046463e+15
 5005.1900      0.962007     1.046462e+15
 5005.2000      0.985141     1.046460e+15
 5005.2100      0.991121     1.046458e+15
 5005.2200      0.992499     1.046456e+15
 5005.2300      0.992855     1.046454e+15
 5005.2400      0.992899     1.046453e+15
 5005.2500      0.992792     1.046451e+15
 5005.2600      0.992569     1.046449e+15
 5005.2700      0.992259     1.046447e+15
 5005.2800      0.991811     1.046445e+15
 5005.2900      0.991227     1.046443e+15
 5005.3000      0.990475     1.046442e+15
 5005.3100      0.989493     1.046440e+15
 5005.3200      0.988221     1.046438e+15
 5005.3300      0.986538     1.046436e+15
 5005.3400      0.984199     1.046434e+15
 5005.3500      0.980782     1.046432e+15
 5005.3600      0.975138     1.046431e+15
 5005.3700      0.964674     1.046429e+15
 5005.3800      0.940852     1.046427e+15
 5005.3900      0.884319     1.046425e+15
 5005.4000      0.772868     1.046423e+15
 5005.4100      0.621900     1.046422e+15
 5005.4200      0.493636     1.046420e+15
 5005.4300      0.422490     1.046418e+15
 5005.4400      0.403460     1.046416e+15
 5005.4500      0.430006     1.046414e+15
 5005.4600      0.510594     1.046412e+15
 5005.4700      0.646069     1.046411e+15
 5005.4800      0.794420     1.046409e+15
 5005.4900      0.896474     1.046407e+15
 5005.5000      0.945955     1.046405e+15
 5005.5100      0.966605     1.046403e+15
 5005.5200      0.975800     1.046401e+15
 5005.5300      0.980604     1.046400e+15
 5005.5400      0.982885     1.046398e+15
 5005.5500      0.981570     1.046396e+15
 5005.5600      0.971665     1.046394e+15
 5005.5700      0.945095     1.046392e+15
 5005.5800      0.898600     1.046390e+15
 5005.5900      0.845981     1.046389e+15
 5005.6000      0.813022     1.046387e+15
 5005.6100      0.817292     1.046385e+15
 5005.6200      0.856828     1.046383e+15
 5005.6300      0.911135     1.046381e+15
 5005.6400      0.955486     1.046380e+15
 5005.6500      0.979536     1.046378e+15
 5005.6600      0.988666     1.046376e+15
 5005.6700      0.990416     1.046374e+15
 5005.6800      0.986951     1.046372e+15
 5005.6900      0.972945     1.046370e+15
 5005.7000      0.936833     1.046369e+15
 5005.7100      0.872664     1.046367e+15
 5005.7200      0.797863     1.046365e+15
 5005.7300      0.745937     1.046363e+15
 5005.7400      0.738794     1.046361e+15
 5005.7500      0.772900     1.046359e+15
 5005.7600      0.816375     1.046358e+15
 5005.7700      0.825915     1.046356e+15
 5005.7800      0.795640     1.046354e+15
 5005.7900      0.762857     1.046352e+15
 5005.8000      0.761550     1.046350e+15
