# Korg.jl Solar Spectrum
# Teff=5780 K, logg=4.44, [M/H]=0.0
# Wavelength(Å)  NormalizedFlux
 5005.8500      0.982942
 5005.8600      0.989809
 5005.8700      0.992132
 5005.8800      0.993006
 5005.8900      0.993441
 5005.9000      0.993699
 5005.9100      0.993866
 5005.9200      0.994068
 5005.9300      0.994135
 5005.9400      0.994105
 5005.9500      0.994097
 5005.9600      0.994025
 5005.9700      0.993768
 5005.9800      0.992917
 5005.9900      0.990847
 5006.0000      0.986842
 5006.0100      0.981293
 5006.0200      0.976516
 5006.0300      0.975412
 5006.0400      0.978693
 5006.0500      0.984191
 5006.0600      0.988978
 5006.0700      0.991919
 5006.0800      0.993100
 5006.0900      0.993325
 5006.1000      0.993371
 5006.1100      0.993323
 5006.1200      0.993309
 5006.1300      0.993202
 5006.1400      0.993089
 5006.1500      0.992966
 5006.1600      0.992831
 5006.1700      0.992682
 5006.1800      0.992512
 5006.1900      0.992311
 5006.2000      0.992053
 5006.2100      0.991661
 5006.2200      0.990769
 5006.2300      0.987823
 5006.2400      0.977810
 5006.2500      0.950017
 5006.2600      0.893919
 5006.2700      0.817510
 5006.2800      0.751684
 5006.2900      0.726555
 5006.3000      0.752502
 5006.3100      0.818654
 5006.3200      0.894589
 5006.3300      0.949745
 5006.3400      0.976700
 5006.3500      0.986158
 5006.3600      0.988715
 5006.3700      0.989273
 5006.3800      0.989343
 5006.3900      0.989273
 5006.4000      0.989139
 5006.4100      0.988962
 5006.4200      0.988752
 5006.4300      0.988509
 5006.4400      0.988232
 5006.4500      0.987915
 5006.4600      0.987541
 5006.4700      0.987074
 5006.4800      0.986281
 5006.4900      0.984793
 5006.5000      0.980366
 5006.5100      0.965917
 5006.5200      0.927516
 5006.5300      0.852332
 5006.5400      0.751841
 5006.5500      0.663182
 5006.5600      0.617758
 5006.5700      0.625704
 5006.5800      0.684459
 5006.5900      0.775796
 5006.6000      0.863066
 5006.6100      0.918794
 5006.6200      0.945961
 5006.6300      0.959776
 5006.6400      0.968524
 5006.6500      0.974101
 5006.6600      0.976928
 5006.6700      0.977894
 5006.6800      0.977907
 5006.6900      0.977509
 5006.7000      0.976853
 5006.7100      0.975909
 5006.7200      0.974205
 5006.7300      0.970424
 5006.7400      0.961698
 5006.7500      0.943453
 5006.7600      0.911413
 5006.7700      0.865751
 5006.7800      0.814862
 5006.7900      0.772553
 5006.8000      0.750807
 5006.8100      0.755295
 5006.8200      0.784053
 5006.8300      0.827568
 5006.8400      0.870866
 5006.8500      0.899552
 5006.8600      0.906363
 5006.8700      0.893118
 5006.8800      0.868295
 5006.8900      0.843082
 5006.9000      0.827221
 5006.9100      0.825661
 5006.9200      0.837231
 5006.9300      0.855419
 5006.9400      0.871405
 5006.9500      0.878250
 5006.9600      0.873697
 5006.9700      0.860278
 5006.9800      0.843112
 5006.9900      0.826643
 5007.0000      0.810363
 5007.0100      0.789477
 5007.0200      0.756771
 5007.0300      0.701337
 5007.0400      0.595661
 5007.0500      0.431546
 5007.0600      0.302250
 5007.0700      0.236271
 5007.0800      0.199044
 5007.0900      0.176534
 5007.1000      0.164757
 5007.1100      0.161963
 5007.1200      0.167688
 5007.1300      0.182852
 5007.1400      0.209693
 5007.1500      0.254039
 5007.1600      0.336587
 5007.1700      0.482273
 5007.1800      0.620349
 5007.1900      0.696114
 5007.2000      0.740364
 5007.2100      0.772258
 5007.2200      0.795786
 5007.2300      0.812623
 5007.2400      0.824155
 5007.2500      0.831322
 5007.2600      0.835052
 5007.2700      0.836096
 5007.2800      0.834799
 5007.2900      0.831351
 5007.3000      0.825827
 5007.3100      0.818216
 5007.3200      0.808377
 5007.3300      0.796104
 5007.3400      0.781110
 5007.3500      0.762641
 5007.3600      0.739982
 5007.3700      0.711389
 5007.3800      0.673723
 5007.3900      0.622764
 5007.4000      0.558095
 5007.4100      0.485936
 5007.4200      0.419789
 5007.4300      0.369608
 5007.4400      0.334597
 5007.4500      0.304984
 5007.4600      0.265165
 5007.4700      0.217802
 5007.4800      0.178975
 5007.4900      0.152896
 5007.5000      0.137985
 5007.5100      0.131474
 5007.5200      0.131604
 5007.5300      0.138421
 5007.5400      0.153804
 5007.5500      0.180877
 5007.5600      0.223381
 5007.5700      0.288812
 5007.5800      0.377933
 5007.5900      0.460375
 5007.6000      0.523565
 5007.6100      0.576320
 5007.6200      0.622081
 5007.6300      0.661708
 5007.6400      0.696409
 5007.6500      0.727457
 5007.6600      0.754177
 5007.6700      0.777403
 5007.6800      0.797705
 5007.6900      0.815494
 5007.7000      0.831137
 5007.7100      0.844921
 5007.7200      0.857116
 5007.7300      0.867943
 5007.7400      0.877588
 5007.7500      0.886209
 5007.7600      0.893940
 5007.7700      0.900893
 5007.7800      0.907167
 5007.7900      0.912843
 5007.8000      0.917992
 5007.8100      0.922675
 5007.8200      0.926944
 5007.8300      0.930845
 5007.8400      0.934418
 5007.8500      0.937696
 5007.8600      0.940715
 5007.8700      0.943490
 5007.8800      0.946050
 5007.8900      0.948414
 5007.9000      0.950602
 5007.9100      0.952629
 5007.9200      0.954508
 5007.9300      0.956253
 5007.9400      0.957873
 5007.9500      0.959380
 5007.9600      0.960782
 5007.9700      0.962087
 5007.9800      0.963302
 5007.9900      0.964407
 5008.0000      0.965459
 5008.0100      0.966437
 5008.0200      0.967348
 5008.0300      0.968193
 5008.0400      0.968978
 5008.0500      0.969705
 5008.0600      0.970377
 5008.0700      0.970997
 5008.0800      0.971568
 5008.0900      0.972089
 5008.1000      0.972565
 5008.1100      0.972995
 5008.1200      0.973381
 5008.1300      0.973724
 5008.1400      0.974025
 5008.1500      0.974283
 5008.1600      0.974499
 5008.1700      0.974672
 5008.1800      0.974802
 5008.1900      0.975014
 5008.2000      0.975055
 5008.2100      0.975049
 5008.2200      0.974995
 5008.2300      0.974890
 5008.2400      0.974731
 5008.2500      0.974512
 5008.2600      0.974230
 5008.2700      0.973877
 5008.2800      0.973444
 5008.2900      0.972915
 5008.3000      0.972258
 5008.3100      0.971426
 5008.3200      0.970170
 5008.3300      0.968450
 5008.3400      0.965664
 5008.3500      0.961171
 5008.3600      0.954755
 5008.3700      0.947167
 5008.3800      0.940619
 5008.3900      0.937424
 5008.4000      0.938225
 5008.4100      0.941623
 5008.4200      0.944901
 5008.4300      0.946169
 5008.4400      0.944402
 5008.4500      0.939034
 5008.4600      0.928742
